ID,Entity,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,MainSentiment,Emotion,Cleaned_Text,Sentiment_Score,Sentiment_Predicted
1,Borderlands, Enjoying a beautiful day at the park!              ,positive,15-01-2023 12:30, User123      ,Twitter, #Nature #Park                            ,15,30, USA      ,2023,1,15,12,Positive,Positive,enjoying beautiful day park,0.8074,Positive
2,CallOfDutyBlackopsColdWar, Traffic was terrible this morning.                 ,negative,15-01-2023 8:45, CommuterX    ,Twitter, #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8,Negative,Negative,traffic wa terrible morning,-0.4767,Negative
3,Amazon, Just finished an amazing workout! 💪               ,positive,15-01-2023 15:45, FitnessFan   ,Instagram, #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15,Positive,Positive,finished amazing workout,0.5859,Positive
4,Overwatch, Excited about the upcoming weekend getaway!        ,positive,15-01-2023 18:20, AdventureX   ,Facebook, #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18,Positive,Positive,excited upcoming weekend getaway,0.34,Positive
5,Xbox(Xseries), Trying out a new recipe for dinner tonight.        ,neutral,15-01-2023 19:55, ChefCook     ,Instagram, #Cooking #Food                           ,12,25, Australia ,2023,1,15,19,Neutral,Neutral,trying new recipe dinner tonight,0.0,Neutral
6,NBA2K, Feeling grateful for the little things in life.    ,positive,16-01-2023 9:10, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9,Positive,Positive,feeling grateful little thing life,0.5423,Positive
7,Dota2, Rainy days call for cozy blankets and hot cocoa.   ,positive,16-01-2023 14:45, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14,Positive,Positive,rainy day call cozy blanket hot cocoa,-0.0772,Negative
8,PlayStation5(PS5), The new movie release is a must-watch!             ,positive,16-01-2023 19:30, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19,Positive,Positive,new movie release mustwatch,0.0,Neutral
9,WorldOfCraft, Political discussions heating up on the timeline.  ,negative,17-01-2023 8:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30,60, USA      ,2023,1,17,8,Negative,Negative,political discussion heating timeline,0.0,Neutral
10,Google, Missing summer vibes and beach days.               ,neutral,17-01-2023 12:20, BeachLover   ,Facebook, #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12,Neutral,Neutral,missing summer vibe beach day,-0.296,Negative
11,Facebook, Just published a new blog post. Check it out!      ,positive,17-01-2023 15:15, BloggerX     ,Instagram, #Blogging #NewPost                      ,22,45,USA,2023,1,17,15,Positive,Positive,published new blog post check,0.0,Neutral
12,Microsoft, Feeling a bit under the weather today.             ,negative,18-01-2023 10:30, WellnessCheck,Twitter, #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10,Negative,Negative,feeling bit weather today,0.128,Positive
13,ApexLegends, Exploring the city's hidden gems.                  ,positive,18-01-2023 14:50, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14,Positive,Positive,exploring city hidden gem,0.0,Neutral
14,FIFA," New year, new fitness goals! 💪                    ",positive,18-01-2023 18:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18,Positive,Positive,new year new fitness goal,0.2732,Positive
15,Borderlands, Technology is changing the way we live.            ,neutral,19-01-2023 9:45, TechEnthusiast,Twitter, #Tech #Innovation                       ,15,30, India    ,2023,1,19,9,Neutral,Neutral,technology changing way live,0.0,Neutral
